trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=1,1,1,1000.0,1500.0,-35.00,0,2025-08-30 15:19:43
2,signal_interval=2,2,1,1000.0,1500.0,-37.00,0,2025-08-30 15:19:49
3,signal_interval=2,2,1,1000.0,1500.0,-39.00,0,2025-08-30 15:19:54
4,signal_interval=2,2,1,1000.0,1500.0,-41.00,0,2025-08-30 15:20:00
5,signal_interval=1,1,1,1000.0,1500.0,-43.00,0,2025-08-30 15:20:06
6,signal_interval=2,2,1,1000.0,1500.0,-45.00,0,2025-08-30 15:20:11
7,signal_interval=1,1,1,1000.0,1500.0,-47.00,0,2025-08-30 15:20:17
8,signal_interval=1,1,1,1000.0,1500.0,-49.00,0,2025-08-30 15:20:22
9,signal_interval=1,1,1,1000.0,1500.0,-51.00,0,2025-08-30 15:20:28
10,signal_interval=2,2,1,1000.0,1500.0,-53.00,0,2025-08-30 15:20:34
11,signal_interval=2,2,1,1000.0,1500.0,-55.00,0,2025-08-30 15:20:39
12,signal_interval=2,2,1,1000.0,1500.0,-57.00,0,2025-08-30 15:20:45
13,signal_interval=1,1,1,1000.0,1500.0,-59.00,0,2025-08-30 15:20:50
14,signal_interval=1,1,1,1000.0,1500.0,-61.00,0,2025-08-30 15:20:57
15,signal_interval=1,2,0,1000.0,1500.0,-63.00,1,2025-08-30 15:21:02
16,signal_interval=2,1,0,1000.0,1500.0,-61.00,0,2025-08-30 15:21:08
17,signal_interval=2,2,1,1000.0,1500.0,-60.00,0,2025-08-30 15:21:14
18,signal_interval=2,1,0,1000.0,1500.0,-60.00,0,2025-08-30 15:21:19
19,signal_interval=2,2,1,1000.0,1500.0,-59.00,0,2025-08-30 15:21:25
20,signal_interval=2,1,0,1000.0,1500.0,-59.00,0,2025-08-30 15:21:30
21,signal_interval=2,1,0,1000.0,1500.0,-58.00,0,2025-08-30 15:21:35
22,signal_interval=1,2,0,1000.0,1500.0,-57.00,0,2025-08-30 15:21:41
23,signal_interval=1,2,0,1000.0,1500.0,-56.00,0,2025-08-30 15:21:46
24,signal_interval=1,2,0,1000.0,1500.0,-55.00,0,2025-08-30 15:21:51
