trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=1,1,1,1000.0,500.0,-35.00,0,2025-08-30 15:13:00
2,signal_interval=1,1,1,1000.0,500.0,-37.00,0,2025-08-30 15:13:06
3,signal_interval=1,1,1,1000.0,500.0,-39.00,0,2025-08-30 15:13:11
4,signal_interval=2,2,1,1000.0,500.0,-41.00,0,2025-08-30 15:13:17
5,signal_interval=1,1,1,1000.0,500.0,-43.00,0,2025-08-30 15:13:23
6,signal_interval=2,1,0,1000.0,500.0,-45.00,1,2025-08-30 15:13:29
7,signal_interval=1,2,0,1000.0,500.0,-43.00,0,2025-08-30 15:13:36
8,signal_interval=1,1,1,1000.0,500.0,-42.00,0,2025-08-30 15:13:41
9,signal_interval=2,1,0,1000.0,500.0,-42.00,0,2025-08-30 15:13:47
10,signal_interval=1,1,1,1000.0,500.0,-41.00,0,2025-08-30 15:13:53
11,signal_interval=1,2,0,1000.0,500.0,-41.00,0,2025-08-30 15:13:59
12,signal_interval=2,1,0,1000.0,500.0,-40.00,0,2025-08-30 15:14:04
13,signal_interval=1,2,0,1000.0,500.0,-39.00,0,2025-08-30 15:14:10
14,signal_interval=1,2,0,1000.0,500.0,-38.00,0,2025-08-30 15:14:15
15,signal_interval=2,1,0,1000.0,500.0,-37.00,0,2025-08-30 15:14:21
16,signal_interval=1,2,0,1000.0,500.0,-36.00,0,2025-08-30 15:14:26
17,signal_interval=2,2,1,1000.0,500.0,-35.00,0,2025-08-30 15:14:31
18,signal_interval=1,2,0,1000.0,500.0,-35.00,0,2025-08-30 15:14:37
19,signal_interval=1,2,0,1000.0,500.0,-34.00,0,2025-08-30 15:14:42
20,signal_interval=2,2,1,1000.0,500.0,-33.00,0,2025-08-30 15:14:47
21,signal_interval=2,2,1,1000.0,500.0,-33.00,1,2025-08-30 15:14:54
22,signal_interval=2,2,1,1000.0,500.0,-34.00,0,2025-08-30 15:15:00
23,signal_interval=1,2,0,1000.0,500.0,-34.00,1,2025-08-30 15:15:05
24,signal_interval=2,2,1,1000.0,500.0,-33.00,0,2025-08-30 15:15:11
25,signal_interval=1,2,0,1000.0,500.0,-33.00,0,2025-08-30 15:15:17
26,signal_interval=1,1,1,1000.0,500.0,-32.00,0,2025-08-30 15:15:22
27,signal_interval=2,2,1,1000.0,500.0,-32.00,1,2025-08-30 15:15:32
28,signal_interval=1,1,1,1000.0,500.0,-33.00,0,2025-08-30 15:15:37
29,signal_interval=2,1,0,1000.0,500.0,-33.00,1,2025-08-30 15:15:43
30,signal_interval=1,1,1,1000.0,500.0,-32.00,0,2025-08-30 15:15:48
31,signal_interval=2,2,1,1000.0,500.0,-32.00,1,2025-08-30 15:15:54
