subject_id,sl_reference_db,test_freq,mod_freq,mod_type,masker_itd_us,itd_us,track,trial_no,level_db,response,is_reversal
P01,-82.0,500.0,250.0,None,4000,400,B,1,-67.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,B,2,-65.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,B,3,-65.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,A,4,-32.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,A,5,-34.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,A,6,-34.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,B,7,-63.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,A,8,-36.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,A,9,-36.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,B,10,-63.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,B,11,-61.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,A,12,-38.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,B,13,-61.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,B,14,-59.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,A,15,-38.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,A,16,-40.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,B,17,-59.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,B,18,-57.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,A,19,-40.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,B,20,-57.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,B,21,-59.0000,pulsating,1
P01,-82.0,500.0,250.0,None,4000,400,B,22,-61.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,B,23,-63.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,A,24,-42.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,B,25,-63.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,B,26,-62.0000,continuous,1
P01,-82.0,500.0,250.0,None,4000,400,A,27,-42.0000,pulsating,0
P01,-82.0,500.0,250.0,None,4000,400,B,28,-62.0000,continuous,0
P01,-82.0,500.0,250.0,None,4000,400,B,29,-61.0000,continuous,0
