subject_id,sl_reference_db,test_freq,mod_freq,mod_type,masker_itd_us,itd_us,track,trial_no,level_db,response,is_reversal
P01,-82.0,500.0,250.0,None,0,600,A,1,-32.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,B,2,-67.0000,continuous,0
P01,-82.0,500.0,250.0,None,0,600,A,3,-34.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,4,-34.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,5,-36.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,B,6,-69.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,7,-36.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,8,-38.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,9,-38.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,10,-40.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,B,11,-71.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,12,-40.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,13,-42.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,B,14,-73.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,B,15,-73.0000,continuous,0
P01,-82.0,500.0,250.0,None,0,600,B,16,-71.0000,continuous,1
P01,-82.0,500.0,250.0,None,0,600,B,17,-71.0000,continuous,0
P01,-82.0,500.0,250.0,None,0,600,B,18,-72.0000,pulsating,1
P01,-82.0,500.0,250.0,None,0,600,A,19,-42.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,B,20,-72.0000,continuous,0
P01,-82.0,500.0,250.0,None,0,600,B,21,-71.0000,continuous,1
P01,-82.0,500.0,250.0,None,0,600,B,22,-72.0000,pulsating,1
P01,-82.0,500.0,250.0,None,0,600,A,23,-44.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,B,24,-73.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,25,-44.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,26,-46.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,27,-46.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,B,28,-73.0000,continuous,0
P01,-82.0,500.0,250.0,None,0,600,A,29,-48.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,30,-48.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,31,-50.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,32,-50.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,B,33,-72.0000,continuous,1
P01,-82.0,500.0,250.0,None,0,600,B,34,-72.0000,continuous,0
P01,-82.0,500.0,250.0,None,0,600,A,35,-52.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,B,36,-73.0000,pulsating,1
P01,-82.0,500.0,250.0,None,0,600,B,37,-73.0000,continuous,0
P01,-82.0,500.0,250.0,None,0,600,B,38,-72.0000,continuous,1
P01,-82.0,500.0,250.0,None,0,600,A,39,-52.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,40,-54.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,41,-54.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,42,-56.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,43,-56.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,44,-58.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,45,-58.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,46,-60.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,47,-60.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,48,-62.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,49,-62.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,50,-64.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,51,-64.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,52,-66.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,53,-66.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,54,-68.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,55,-68.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,56,-70.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,57,-70.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,58,-72.0000,pulsating,0
P01,-82.0,500.0,250.0,None,0,600,A,59,-70.0000,continuous,1
P01,-82.0,500.0,250.0,None,0,600,A,60,-68.0000,continuous,0
P01,-82.0,500.0,250.0,None,0,600,A,61,-68.0000,pulsating,0
