subject_id,sl_reference_db,test_freq,mod_freq,mod_type,masker_itd_us,itd_us,track,trial_no,level_db,response,is_reversal
YT,-72.0,500.0,250.0,None,0,200,A,1,-17.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,B,2,-57.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,B,3,-55.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,B,4,-55.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,A,5,-19.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,B,6,-53.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,A,7,-19.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,B,8,-53.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,A,9,-21.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,A,10,-21.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,A,11,-23.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,B,12,-51.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,B,13,-51.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,A,14,-23.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,A,15,-25.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,A,16,-25.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,A,17,-27.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,B,18,-49.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,B,19,-49.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,B,20,-47.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,B,21,-47.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,B,22,-45.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,B,23,-47.0000,pulsating,1
YT,-72.0,500.0,250.0,None,0,200,A,24,-27.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,A,25,-29.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,A,26,-29.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,B,27,-47.0000,continuous,0
YT,-72.0,500.0,250.0,None,0,200,A,28,-31.0000,pulsating,0
YT,-72.0,500.0,250.0,None,0,200,B,29,-46.0000,continuous,1
