subject_id,sl_reference_db,test_freq,mod_freq,mod_type,masker_itd_us,itd_us,track,trial_no,level_db,response,is_reversal
P01,-84.0,500.0,250.0,None,0,200,B,1,-69.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,A,2,-34.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,3,-67.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,B,4,-67.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,B,5,-65.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,B,6,-65.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,B,7,-67.0000,pulsating,1
P01,-84.0,500.0,250.0,None,0,200,A,8,-36.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,9,-36.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,10,-38.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,11,-67.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,A,12,-38.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,13,-40.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,14,-66.0000,continuous,1
P01,-84.0,500.0,250.0,None,0,200,B,15,-66.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,B,16,-67.0000,pulsating,1
P01,-84.0,500.0,250.0,None,0,200,B,17,-68.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,18,-40.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,19,-42.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,20,-68.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,B,21,-67.0000,continuous,1
P01,-84.0,500.0,250.0,None,0,200,A,22,-42.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,23,-44.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,24,-67.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,A,25,-44.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,26,-46.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,27,-66.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,A,28,-46.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,29,-66.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,A,30,-48.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,31,-48.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,32,-50.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,33,-65.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,A,34,-50.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,35,-65.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,A,36,-52.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,37,-52.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,38,-54.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,39,-66.0000,pulsating,1
P01,-84.0,500.0,250.0,None,0,200,A,40,-54.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,41,-56.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,42,-56.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,43,-67.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,44,-67.0000,continuous,0
P01,-84.0,500.0,250.0,None,0,200,A,45,-58.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,B,46,-66.0000,continuous,1
P01,-84.0,500.0,250.0,None,0,200,B,47,-67.0000,pulsating,1
P01,-84.0,500.0,250.0,None,0,200,A,48,-58.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,49,-60.0000,pulsating,0
P01,-84.0,500.0,250.0,None,0,200,A,50,-60.0000,pulsating,0
