subject_id,itd_us,track,trial_no,level_db,response,is_reversal
P01,200,B,1,-78.0000,continuous,0
P01,200,A,2,-38.0000,pulsating,0
P01,200,B,3,-76.0000,continuous,0
P01,200,B,4,-76.0000,continuous,0
P01,200,B,5,-74.0000,continuous,0
P01,200,B,6,-74.0000,continuous,0
P01,200,A,7,-40.0000,pulsating,0
P01,200,A,8,-40.0000,pulsating,0
P01,200,B,9,-72.0000,continuous,0
P01,200,B,10,-72.0000,continuous,0
P01,200,A,11,-42.0000,pulsating,0
P01,200,A,12,-42.0000,pulsating,0
P01,200,A,13,-44.0000,pulsating,0
P01,200,B,14,-70.0000,continuous,0
P01,200,B,15,-70.0000,continuous,0
P01,200,A,16,-44.0000,pulsating,0
P01,200,B,17,-68.0000,continuous,0
P01,200,A,18,-46.0000,pulsating,0
P01,200,A,19,-46.0000,pulsating,0
P01,200,B,20,-68.0000,continuous,0
P01,200,A,21,-48.0000,pulsating,0
P01,200,B,22,-66.0000,continuous,0
P01,200,B,23,-66.0000,continuous,0
P01,200,A,24,-48.0000,pulsating,0
P01,200,B,25,-64.0000,continuous,0
P01,200,A,26,-50.0000,pulsating,0
P01,200,A,27,-50.0000,pulsating,0
P01,200,A,28,-52.0000,pulsating,0
P01,200,B,29,-66.0000,pulsating,1
P01,200,B,30,-66.0000,continuous,0
P01,200,B,31,-68.0000,pulsating,0
P01,200,A,32,-52.0000,pulsating,0
P01,200,B,33,-68.0000,continuous,0
P01,200,B,34,-67.0000,continuous,1
P01,200,A,35,-54.0000,pulsating,0
P01,200,B,36,-67.0000,continuous,0
P01,200,B,37,-66.0000,continuous,0
P01,200,B,38,-66.0000,continuous,0
P01,200,B,39,-67.0000,pulsating,1
P01,200,B,40,-67.0000,continuous,0
P01,200,B,41,-66.0000,continuous,1
P01,200,A,42,-54.0000,pulsating,0
P01,200,A,43,-56.0000,pulsating,0
P01,200,B,44,-66.0000,continuous,0
P01,200,A,45,-56.0000,pulsating,0
P01,200,B,46,-65.0000,continuous,0
P01,200,A,47,-58.0000,pulsating,0
P01,200,B,48,-66.0000,pulsating,1
P01,200,B,49,-66.0000,continuous,0
P01,200,A,50,-58.0000,pulsating,0
P01,200,A,51,-60.0000,pulsating,0
P01,200,B,52,-67.0000,pulsating,0
P01,200,A,53,-60.0000,pulsating,0
P01,200,B,54,-68.0000,pulsating,0
P01,200,B,55,-68.0000,continuous,0
P01,200,B,56,-67.0000,continuous,1
P01,200,A,57,-62.0000,pulsating,0
P01,200,A,58,-62.0000,pulsating,0
P01,200,B,59,-68.0000,pulsating,1
P01,200,B,60,-68.0000,continuous,0
P01,200,B,61,-69.0000,pulsating,0
P01,200,A,62,-64.0000,pulsating,0
P01,200,B,63,-70.0000,pulsating,0
P01,200,A,64,-64.0000,pulsating,0
P01,200,A,65,-66.0000,pulsating,0
P01,200,B,66,-71.0000,pulsating,0
P01,200,A,67,-66.0000,pulsating,0
P01,200,B,68,-71.0000,continuous,0
P01,200,A,69,-68.0000,pulsating,0
P01,200,B,70,-70.0000,continuous,1
P01,200,A,71,-68.0000,pulsating,0
P01,200,A,72,-70.0000,pulsating,0
P01,200,A,73,-70.0000,pulsating,0
P01,200,A,74,-68.0000,continuous,1
P01,200,A,75,-68.0000,pulsating,0
P01,200,A,76,-66.0000,continuous,0
P01,200,A,77,-66.0000,pulsating,0
P01,200,A,78,-67.0000,pulsating,1
P01,200,A,79,-66.0000,continuous,1
P01,200,A,80,-66.0000,pulsating,0
P01,200,A,81,-67.0000,pulsating,1
P01,200,A,82,-66.0000,continuous,1
P01,200,A,83,-66.0000,pulsating,0
P01,200,A,84,-67.0000,pulsating,1
P01,200,A,85,-67.0000,pulsating,0
P01,200,A,86,-66.0000,continuous,1
P01,200,A,87,-66.0000,pulsating,0
P01,200,A,88,-67.0000,pulsating,1
