trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=1,1,1,1100.0,600.0,-25.00,0,2025-08-30 20:58:41
2,signal_interval=2,2,1,1100.0,600.0,-27.00,0,2025-08-30 20:58:47
3,signal_interval=2,2,1,1100.0,600.0,-29.00,0,2025-08-30 20:58:53
4,signal_interval=2,2,1,1100.0,600.0,-31.00,0,2025-08-30 20:58:58
5,signal_interval=1,1,1,1100.0,600.0,-33.00,0,2025-08-30 20:59:04
6,signal_interval=2,1,0,1100.0,600.0,-35.00,1,2025-08-30 20:59:10
7,signal_interval=1,1,1,1100.0,600.0,-33.00,0,2025-08-30 20:59:16
