trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=2,2,1,1000.0,1000.0,-35.00,0,2025-08-30 15:59:19
2,signal_interval=2,2,1,1000.0,1000.0,-37.00,0,2025-08-30 15:59:25
3,signal_interval=1,1,1,1000.0,1000.0,-39.00,0,2025-08-30 15:59:32
4,signal_interval=2,1,0,1000.0,1000.0,-41.00,1,2025-08-30 15:59:38
5,signal_interval=1,2,0,1000.0,1000.0,-39.00,0,2025-08-30 15:59:43
6,signal_interval=1,1,1,1000.0,1000.0,-38.00,0,2025-08-30 15:59:49
7,signal_interval=1,1,1,1000.0,1000.0,-38.00,1,2025-08-30 15:59:55
8,signal_interval=2,1,0,1000.0,1000.0,-39.00,1,2025-08-30 16:00:01
9,signal_interval=1,1,1,1000.0,1000.0,-38.00,0,2025-08-30 16:00:07
10,signal_interval=1,2,0,1000.0,1000.0,-38.00,0,2025-08-30 16:00:16
11,signal_interval=2,1,0,1000.0,1000.0,-37.00,0,2025-08-30 16:00:22
12,signal_interval=2,2,1,1000.0,1000.0,-36.00,0,2025-08-30 16:00:28
13,signal_interval=2,1,0,1000.0,1000.0,-36.00,0,2025-08-30 16:00:34
14,signal_interval=2,2,1,1000.0,1000.0,-35.00,0,2025-08-30 16:00:40
15,signal_interval=1,1,1,1000.0,1000.0,-35.00,1,2025-08-30 16:00:47
16,signal_interval=1,1,1,1000.0,1000.0,-36.00,0,2025-08-30 16:00:53
17,signal_interval=1,2,0,1000.0,1000.0,-36.00,1,2025-08-30 16:00:59
18,signal_interval=1,1,1,1000.0,1000.0,-35.00,0,2025-08-30 16:01:05
19,signal_interval=2,2,1,1000.0,1000.0,-35.00,1,2025-08-30 16:01:11
