trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=2,2,1,1100.0,600.0,-25.00,0,2025-08-30 20:56:44
2,signal_interval=2,2,1,1100.0,600.0,-27.00,0,2025-08-30 20:56:50
3,signal_interval=2,2,1,1100.0,600.0,-29.00,0,2025-08-30 20:56:56
4,signal_interval=1,1,1,1100.0,600.0,-31.00,0,2025-08-30 20:57:02
5,signal_interval=2,2,1,1100.0,600.0,-33.00,0,2025-08-30 20:57:08
6,signal_interval=1,1,1,1100.0,600.0,-35.00,0,2025-08-30 20:57:14
7,signal_interval=2,2,1,1100.0,600.0,-37.00,0,2025-08-30 20:57:20
8,signal_interval=2,2,1,1100.0,600.0,-39.00,0,2025-08-30 20:57:25
9,signal_interval=1,2,0,1100.0,600.0,-41.00,1,2025-08-30 20:57:32
10,signal_interval=1,2,0,1100.0,600.0,-39.00,0,2025-08-30 20:57:40
11,signal_interval=1,2,0,1100.0,600.0,-38.00,0,2025-08-30 20:57:45
12,signal_interval=2,2,1,1100.0,600.0,-37.00,0,2025-08-30 20:57:50
13,signal_interval=2,1,0,1100.0,600.0,-37.00,0,2025-08-30 20:57:56
14,signal_interval=1,2,0,1100.0,600.0,-36.00,0,2025-08-30 20:58:03
15,signal_interval=2,2,1,1100.0,600.0,-35.00,0,2025-08-30 20:58:10
16,signal_interval=2,1,0,1100.0,600.0,-35.00,0,2025-08-30 20:58:15
17,signal_interval=1,1,1,1100.0,600.0,-34.00,0,2025-08-30 20:58:21
18,signal_interval=2,1,0,1100.0,600.0,-34.00,0,2025-08-30 20:58:26
