trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-25.00,0,2025-08-30 21:15:44
2,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-27.00,0,2025-08-30 21:15:50
3,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-29.00,0,2025-08-30 21:15:55
4,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-31.00,0,2025-08-30 21:16:01
5,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-33.00,0,2025-08-30 21:16:06
6,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,600.0,-35.00,1,2025-08-30 21:16:12
7,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-33.00,0,2025-08-30 21:16:18
8,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-33.00,1,2025-08-30 21:16:25
9,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-34.00,0,2025-08-30 21:16:31
10,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-34.00,0,2025-08-30 21:16:36
11,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-35.00,0,2025-08-30 21:16:42
12,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-35.00,0,2025-08-30 21:16:48
13,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,600.0,-36.00,1,2025-08-30 21:16:53
14,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-35.00,0,2025-08-30 21:16:59
15,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,600.0,-35.00,0,2025-08-30 21:17:06
16,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-34.00,0,2025-08-30 21:17:11
17,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-34.00,1,2025-08-30 21:17:18
18,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-35.00,0,2025-08-30 21:17:24
19,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-35.00,0,2025-08-30 21:17:32
20,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-36.00,0,2025-08-30 21:17:38
21,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,600.0,-36.00,1,2025-08-30 21:17:44
22,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-35.00,0,2025-08-30 21:17:49
23,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-35.00,1,2025-08-30 21:17:55
