trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=1,1,1,1000.0,1100.0,-35.00,0,2025-08-30 16:02:01
2,signal_interval=1,1,1,1000.0,1100.0,-37.00,0,2025-08-30 16:02:06
3,signal_interval=1,1,1,1000.0,1100.0,-39.00,0,2025-08-30 16:02:11
4,signal_interval=1,1,1,1000.0,1100.0,-41.00,0,2025-08-30 16:02:16
5,signal_interval=2,2,1,1000.0,1100.0,-43.00,0,2025-08-30 16:02:22
6,signal_interval=2,2,1,1000.0,1100.0,-45.00,0,2025-08-30 16:02:27
7,signal_interval=1,1,1,1000.0,1100.0,-47.00,0,2025-08-30 16:02:33
8,signal_interval=1,1,1,1000.0,1100.0,-49.00,0,2025-08-30 16:02:39
9,signal_interval=1,1,1,1000.0,1100.0,-51.00,0,2025-08-30 16:02:44
10,signal_interval=1,1,1,1000.0,1100.0,-53.00,0,2025-08-30 16:02:50
11,signal_interval=1,1,1,1000.0,1100.0,-55.00,0,2025-08-30 16:02:55
12,signal_interval=2,2,1,1000.0,1100.0,-57.00,0,2025-08-30 16:03:00
13,signal_interval=2,1,0,1000.0,1100.0,-59.00,1,2025-08-30 16:03:06
14,signal_interval=2,2,1,1000.0,1100.0,-57.00,0,2025-08-30 16:03:11
15,signal_interval=2,1,0,1000.0,1100.0,-57.00,0,2025-08-30 16:03:16
16,signal_interval=2,1,0,1000.0,1100.0,-56.00,0,2025-08-30 16:03:22
17,signal_interval=2,2,1,1000.0,1100.0,-55.00,0,2025-08-30 16:03:27
18,signal_interval=1,2,0,1000.0,1100.0,-55.00,0,2025-08-30 16:03:32
19,signal_interval=2,2,1,1000.0,1100.0,-54.00,0,2025-08-30 16:03:38
20,signal_interval=1,1,1,1000.0,1100.0,-54.00,1,2025-08-30 16:03:44
21,signal_interval=2,2,1,1000.0,1100.0,-55.00,0,2025-08-30 16:03:50
22,signal_interval=1,1,1,1000.0,1100.0,-55.00,0,2025-08-30 16:03:56
23,signal_interval=1,2,0,1000.0,1100.0,-56.00,1,2025-08-30 16:04:02
24,signal_interval=2,2,1,1000.0,1100.0,-55.00,0,2025-08-30 16:04:07
25,signal_interval=2,1,0,1000.0,1100.0,-55.00,0,2025-08-30 16:04:13
26,signal_interval=2,1,0,1000.0,1100.0,-54.00,0,2025-08-30 16:04:18
27,signal_interval=1,2,0,1000.0,1100.0,-53.00,0,2025-08-30 16:04:23
28,signal_interval=1,1,1,1000.0,1100.0,-52.00,0,2025-08-30 16:04:29
29,signal_interval=2,1,0,1000.0,1100.0,-52.00,0,2025-08-30 16:04:35
30,signal_interval=2,2,1,1000.0,1100.0,-51.00,0,2025-08-30 16:04:40
31,signal_interval=2,2,1,1000.0,1100.0,-51.00,1,2025-08-30 16:04:45
32,signal_interval=2,2,1,1000.0,1100.0,-52.00,0,2025-08-30 16:04:51
33,signal_interval=1,1,1,1000.0,1100.0,-52.00,0,2025-08-30 16:04:57
34,signal_interval=2,2,1,1000.0,1100.0,-53.00,0,2025-08-30 16:05:02
35,signal_interval=1,2,0,1000.0,1100.0,-53.00,1,2025-08-30 16:05:07
36,signal_interval=1,2,0,1000.0,1100.0,-52.00,0,2025-08-30 16:05:12
37,signal_interval=2,2,1,1000.0,1100.0,-51.00,0,2025-08-30 16:05:18
38,signal_interval=2,2,1,1000.0,1100.0,-51.00,1,2025-08-30 16:05:23
