trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,700.0,-25.00,0,2025-08-30 21:18:22
2,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,700.0,-27.00,0,2025-08-30 21:18:28
3,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,700.0,-29.00,0,2025-08-30 21:18:34
4,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,700.0,-31.00,0,2025-08-30 21:18:39
5,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,700.0,-33.00,0,2025-08-30 21:18:45
6,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,700.0,-35.00,0,2025-08-30 21:18:50
7,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,700.0,-37.00,0,2025-08-30 21:18:57
8,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,700.0,-39.00,0,2025-08-30 21:19:03
9,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,700.0,-41.00,1,2025-08-30 21:19:10
10,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,700.0,-39.00,0,2025-08-30 21:19:16
11,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,700.0,-38.00,0,2025-08-30 21:19:21
12,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,700.0,-37.00,0,2025-08-30 21:19:27
13,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,700.0,-37.00,0,2025-08-30 21:19:33
14,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,700.0,-36.00,0,2025-08-30 21:19:39
15,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,700.0,-35.00,0,2025-08-30 21:19:45
16,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,700.0,-35.00,1,2025-08-30 21:19:51
17,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,700.0,-36.00,1,2025-08-30 21:19:57
18,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,700.0,-35.00,0,2025-08-30 21:20:03
19,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,700.0,-35.00,1,2025-08-30 21:20:09
20,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,700.0,-36.00,0,2025-08-30 21:20:14
21,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,700.0,-36.00,0,2025-08-30 21:20:20
22,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,700.0,-37.00,0,2025-08-30 21:20:25
23,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,700.0,-37.00,0,2025-08-30 21:20:31
24,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,700.0,-38.00,1,2025-08-30 21:20:36
25,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,700.0,-37.00,0,2025-08-30 21:20:42
26,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,700.0,-36.00,0,2025-08-30 21:20:48
27,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,700.0,-36.00,0,2025-08-30 21:20:54
28,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,700.0,-35.00,0,2025-08-30 21:21:00
29,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,700.0,-34.00,0,2025-08-30 21:21:05
30,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,700.0,-34.00,1,2025-08-30 21:21:11
