trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=2,2,1,1000.0,700.0,-35.00,0,2025-08-30 15:51:51
2,signal_interval=1,2,0,1000.0,700.0,-37.00,1,2025-08-30 15:51:57
3,signal_interval=1,1,1,1000.0,700.0,-35.00,0,2025-08-30 15:52:06
4,signal_interval=2,2,1,1000.0,700.0,-35.00,1,2025-08-30 15:52:12
5,signal_interval=1,2,0,1000.0,700.0,-36.00,1,2025-08-30 15:52:18
6,signal_interval=1,2,0,1000.0,700.0,-35.00,0,2025-08-30 15:52:23
7,signal_interval=1,1,1,1000.0,700.0,-34.00,0,2025-08-30 15:52:30
8,signal_interval=2,1,0,1000.0,700.0,-34.00,0,2025-08-30 15:52:35
9,signal_interval=1,1,1,1000.0,700.0,-33.00,0,2025-08-30 15:52:41
10,signal_interval=1,1,1,1000.0,700.0,-33.00,1,2025-08-30 15:52:47
11,signal_interval=1,1,1,1000.0,700.0,-34.00,0,2025-08-30 15:52:52
12,signal_interval=1,2,0,1000.0,700.0,-34.00,1,2025-08-30 15:52:58
13,signal_interval=1,1,1,1000.0,700.0,-33.00,0,2025-08-30 15:53:04
14,signal_interval=2,2,1,1000.0,700.0,-33.00,1,2025-08-30 15:53:10
