trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-25.00,0,2025-08-30 21:21:44
2,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-27.00,0,2025-08-30 21:21:50
3,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-29.00,0,2025-08-30 21:21:56
4,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-31.00,0,2025-08-30 21:22:01
5,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,800.0,-33.00,1,2025-08-30 21:22:07
6,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-31.00,0,2025-08-30 21:22:13
7,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-31.00,1,2025-08-30 21:22:20
8,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,800.0,-32.00,0,2025-08-30 21:22:26
9,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,800.0,-32.00,0,2025-08-30 21:22:31
10,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-33.00,0,2025-08-30 21:22:37
11,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-33.00,0,2025-08-30 21:22:42
12,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,800.0,-34.00,1,2025-08-30 21:22:48
13,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,800.0,-33.00,0,2025-08-30 21:22:54
14,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-33.00,1,2025-08-30 21:23:00
15,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-34.00,0,2025-08-30 21:23:05
16,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-34.00,0,2025-08-30 21:23:11
17,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-35.00,0,2025-08-30 21:23:20
18,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,800.0,-35.00,1,2025-08-30 21:23:25
19,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-34.00,0,2025-08-30 21:23:31
20,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,800.0,-34.00,0,2025-08-30 21:23:37
21,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,800.0,-33.00,0,2025-08-30 21:23:42
22,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,800.0,-33.00,1,2025-08-30 21:23:49
