trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1200.0,-25.00,0,2025-08-31 21:31:09
2,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-27.00,0,2025-08-31 21:31:15
3,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1200.0,-29.00,0,2025-08-31 21:31:21
4,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-31.00,0,2025-08-31 21:31:26
5,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-33.00,0,2025-08-31 21:31:32
6,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1200.0,-35.00,0,2025-08-31 21:31:38
7,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-37.00,0,2025-08-31 21:31:43
8,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1200.0,-39.00,0,2025-08-31 21:31:49
9,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-41.00,0,2025-08-31 21:31:54
10,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-43.00,0,2025-08-31 21:32:00
11,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-45.00,0,2025-08-31 21:32:06
12,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,1200.0,-47.00,1,2025-08-31 21:32:11
13,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,1200.0,-45.00,0,2025-08-31 21:32:17
14,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-44.00,0,2025-08-31 21:32:23
15,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1200.0,-44.00,0,2025-08-31 21:32:29
16,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1200.0,-43.00,0,2025-08-31 21:32:35
17,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1200.0,-43.00,0,2025-08-31 21:32:44
18,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-42.00,0,2025-08-31 21:32:49
19,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,1200.0,-42.00,0,2025-08-31 21:32:57
20,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1200.0,-41.00,0,2025-08-31 21:33:03
21,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1200.0,-40.00,0,2025-08-31 21:33:08
22,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-40.00,1,2025-08-31 21:33:14
23,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1200.0,-41.00,0,2025-08-31 21:33:19
24,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-41.00,0,2025-08-31 21:33:25
25,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1200.0,-42.00,0,2025-08-31 21:33:30
26,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,1200.0,-42.00,1,2025-08-31 21:33:35
27,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1200.0,-41.00,0,2025-08-31 21:33:41
28,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-41.00,1,2025-08-31 21:33:46
29,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-42.00,0,2025-08-31 21:33:52
30,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-42.00,0,2025-08-31 21:33:57
31,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,1200.0,-43.00,1,2025-08-31 21:34:03
32,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1200.0,-42.00,0,2025-08-31 21:34:09
33,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1200.0,-42.00,1,2025-08-31 21:34:14
