trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=2,2,1,1000.0,800.0,-35.00,0,2025-08-30 15:53:44
2,signal_interval=2,2,1,1000.0,800.0,-37.00,0,2025-08-30 15:53:51
3,signal_interval=2,2,1,1000.0,800.0,-39.00,0,2025-08-30 15:53:56
4,signal_interval=1,2,0,1000.0,800.0,-41.00,1,2025-08-30 15:54:02
5,signal_interval=1,2,0,1000.0,800.0,-39.00,0,2025-08-30 15:54:08
6,signal_interval=2,2,1,1000.0,800.0,-38.00,0,2025-08-30 15:54:14
7,signal_interval=2,1,0,1000.0,800.0,-38.00,0,2025-08-30 15:54:20
8,signal_interval=1,2,0,1000.0,800.0,-37.00,0,2025-08-30 15:54:26
9,signal_interval=1,1,1,1000.0,800.0,-36.00,0,2025-08-30 15:54:35
10,signal_interval=2,1,0,1000.0,800.0,-36.00,0,2025-08-30 15:54:42
11,signal_interval=1,2,0,1000.0,800.0,-35.00,0,2025-08-30 15:54:49
12,signal_interval=1,1,1,1000.0,800.0,-34.00,0,2025-08-30 15:54:56
13,signal_interval=1,2,0,1000.0,800.0,-34.00,0,2025-08-30 15:55:02
14,signal_interval=1,1,1,1000.0,800.0,-33.00,0,2025-08-30 15:55:08
15,signal_interval=1,1,1,1000.0,800.0,-33.00,1,2025-08-30 15:55:15
16,signal_interval=2,2,1,1000.0,800.0,-34.00,0,2025-08-30 15:55:21
17,signal_interval=1,1,1,1000.0,800.0,-34.00,0,2025-08-30 15:55:27
18,signal_interval=1,2,0,1000.0,800.0,-35.00,1,2025-08-30 15:55:32
19,signal_interval=2,1,0,1000.0,800.0,-34.00,0,2025-08-30 15:55:38
20,signal_interval=2,2,1,1000.0,800.0,-33.00,0,2025-08-30 15:55:44
21,signal_interval=1,1,1,1000.0,800.0,-33.00,1,2025-08-30 15:55:50
22,signal_interval=2,1,0,1000.0,800.0,-34.00,1,2025-08-30 15:55:56
23,signal_interval=2,2,1,1000.0,800.0,-33.00,0,2025-08-30 15:56:02
24,signal_interval=2,2,1,1000.0,800.0,-33.00,1,2025-08-30 15:56:07
