trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-25.00,0,2025-08-31 21:28:02
2,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-27.00,0,2025-08-31 21:28:08
3,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-29.00,0,2025-08-31 21:28:13
4,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1100.0,-31.00,0,2025-08-31 21:28:19
5,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-33.00,0,2025-08-31 21:28:25
6,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1100.0,-35.00,0,2025-08-31 21:28:31
7,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-37.00,0,2025-08-31 21:28:37
8,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1100.0,-39.00,0,2025-08-31 21:28:43
9,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-41.00,0,2025-08-31 21:28:48
10,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1100.0,-43.00,1,2025-08-31 21:28:55
11,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,1100.0,-41.00,0,2025-08-31 21:29:01
12,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,1100.0,-40.00,0,2025-08-31 21:29:06
13,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1100.0,-39.00,0,2025-08-31 21:29:12
14,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1100.0,-38.00,0,2025-08-31 21:29:18
15,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1100.0,-37.00,0,2025-08-31 21:29:24
16,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-36.00,0,2025-08-31 21:29:29
17,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1100.0,-36.00,0,2025-08-31 21:29:35
18,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-35.00,0,2025-08-31 21:29:41
19,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-35.00,1,2025-08-31 21:29:47
20,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,1100.0,-36.00,1,2025-08-31 21:29:53
21,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1100.0,-35.00,0,2025-08-31 21:30:01
22,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-35.00,1,2025-08-31 21:30:07
23,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1100.0,-36.00,0,2025-08-31 21:30:12
24,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1100.0,-36.00,0,2025-08-31 21:30:18
25,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1100.0,-37.00,0,2025-08-31 21:30:25
26,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1100.0,-37.00,1,2025-08-31 21:30:31
27,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-36.00,0,2025-08-31 21:30:36
28,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1100.0,-36.00,1,2025-08-31 21:30:42
