trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-25.00,0,2025-08-30 21:24:11
2,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,900.0,-27.00,0,2025-08-30 21:24:17
3,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-29.00,0,2025-08-30 21:24:23
4,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,900.0,-31.00,1,2025-08-30 21:24:30
5,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,900.0,-29.00,0,2025-08-30 21:24:35
6,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-29.00,1,2025-08-30 21:24:41
7,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,900.0,-30.00,1,2025-08-30 21:24:47
8,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,900.0,-29.00,0,2025-08-30 21:24:52
9,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,900.0,-28.00,0,2025-08-30 21:24:57
10,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,900.0,-28.00,1,2025-08-30 21:25:03
11,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,900.0,-29.00,1,2025-08-30 21:25:09
12,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-28.00,0,2025-08-30 21:25:15
13,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,900.0,-28.00,1,2025-08-30 21:25:20
