trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,500.0,-25.00,0,2025-08-30 21:12:41
2,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,500.0,-27.00,0,2025-08-30 21:12:46
3,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,500.0,-29.00,0,2025-08-30 21:12:52
4,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,500.0,-31.00,0,2025-08-30 21:12:58
5,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,500.0,-33.00,0,2025-08-30 21:13:03
6,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,500.0,-35.00,0,2025-08-30 21:13:09
7,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,500.0,-37.00,1,2025-08-30 21:13:15
8,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,500.0,-35.00,0,2025-08-30 21:13:22
9,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,500.0,-35.00,1,2025-08-30 21:13:27
10,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,500.0,-36.00,0,2025-08-30 21:13:33
11,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,500.0,-36.00,0,2025-08-30 21:13:39
12,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,500.0,-37.00,1,2025-08-30 21:13:45
13,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,500.0,-36.00,0,2025-08-30 21:13:53
14,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,500.0,-36.00,1,2025-08-30 21:14:00
15,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,500.0,-37.00,1,2025-08-30 21:14:06
16,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,500.0,-36.00,0,2025-08-30 21:14:12
17,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,500.0,-36.00,1,2025-08-30 21:14:18
