trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-25.00,0,2025-08-30 21:10:45
2,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-27.00,0,2025-08-30 21:10:51
3,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-29.00,0,2025-08-30 21:10:57
4,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-31.00,0,2025-08-30 21:11:03
5,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-33.00,0,2025-08-30 21:11:09
6,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,600.0,-35.00,1,2025-08-30 21:11:14
7,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-33.00,0,2025-08-30 21:11:20
8,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-33.00,1,2025-08-30 21:11:25
9,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-34.00,0,2025-08-30 21:11:33
10,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,600.0,-34.00,0,2025-08-30 21:11:39
11,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-35.00,0,2025-08-30 21:11:44
12,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,600.0,-35.00,0,2025-08-30 21:11:50
13,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,600.0,-36.00,1,2025-08-30 21:11:58
14,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,600.0,-35.00,0,2025-08-30 21:12:04
15,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,600.0,-34.00,0,2025-08-30 21:12:10
