trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=1,1,1,1000.0,900.0,-35.00,0,2025-08-30 15:56:27
2,signal_interval=2,2,1,1000.0,900.0,-37.00,0,2025-08-30 15:56:32
3,signal_interval=1,2,0,1000.0,900.0,-39.00,1,2025-08-30 15:56:38
4,signal_interval=1,2,0,1000.0,900.0,-37.00,0,2025-08-30 15:56:45
5,signal_interval=1,2,0,1000.0,900.0,-36.00,0,2025-08-30 15:56:50
6,signal_interval=2,2,1,1000.0,900.0,-35.00,0,2025-08-30 15:56:57
7,signal_interval=1,2,0,1000.0,900.0,-35.00,0,2025-08-30 15:57:03
8,signal_interval=1,1,1,1000.0,900.0,-34.00,0,2025-08-30 15:57:09
9,signal_interval=2,2,1,1000.0,900.0,-34.00,1,2025-08-30 15:57:14
10,signal_interval=2,2,1,1000.0,900.0,-35.00,0,2025-08-30 15:57:22
11,signal_interval=2,1,0,1000.0,900.0,-35.00,1,2025-08-30 15:57:29
12,signal_interval=1,2,0,1000.0,900.0,-34.00,0,2025-08-30 15:57:35
13,signal_interval=2,2,1,1000.0,900.0,-33.00,0,2025-08-30 15:57:42
14,signal_interval=1,2,0,1000.0,900.0,-33.00,0,2025-08-30 15:57:49
15,signal_interval=1,1,1,1000.0,900.0,-32.00,0,2025-08-30 15:57:57
16,signal_interval=2,2,1,1000.0,900.0,-32.00,1,2025-08-30 15:58:02
17,signal_interval=2,2,1,1000.0,900.0,-33.00,0,2025-08-30 15:58:10
18,signal_interval=1,1,1,1000.0,900.0,-33.00,0,2025-08-30 15:58:16
19,signal_interval=2,2,1,1000.0,900.0,-34.00,0,2025-08-30 15:58:24
20,signal_interval=1,1,1,1000.0,900.0,-34.00,0,2025-08-30 15:58:30
21,signal_interval=1,2,0,1000.0,900.0,-35.00,1,2025-08-30 15:58:36
22,signal_interval=1,1,1,1000.0,900.0,-34.00,0,2025-08-30 15:58:41
23,signal_interval=2,2,1,1000.0,900.0,-34.00,1,2025-08-30 15:58:47
