trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1000.0,-25.00,0,2025-08-30 21:28:02
2,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1000.0,-27.00,0,2025-08-30 21:28:09
3,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1000.0,-29.00,0,2025-08-30 21:28:15
4,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1000.0,-31.00,0,2025-08-30 21:28:22
5,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1000.0,-33.00,0,2025-08-30 21:28:30
6,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1000.0,-35.00,1,2025-08-30 21:28:36
7,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1000.0,-33.00,0,2025-08-30 21:28:42
8,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1000.0,-33.00,1,2025-08-30 21:28:48
9,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,1000.0,-34.00,1,2025-08-30 21:28:55
10,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1000.0,-33.00,0,2025-08-30 21:29:03
11,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1000.0,-33.00,1,2025-08-30 21:29:09
12,"signal1_interval=2, target=signal2, target_interval=1",2,0,1100.0,1000.0,-34.00,1,2025-08-30 21:29:16
13,"signal1_interval=1, target=signal2, target_interval=2",1,0,1100.0,1000.0,-33.00,0,2025-08-30 21:29:23
14,"signal1_interval=2, target=signal2, target_interval=1",1,1,1100.0,1000.0,-32.00,0,2025-08-30 21:29:29
15,"signal1_interval=1, target=signal2, target_interval=2",2,1,1100.0,1000.0,-32.00,1,2025-08-30 21:29:36
