trial,condition,response,correct,fc,ft,Lt,reversal,timestamp
1,signal_interval=1,1,1,1100.0,500.0,-35.00,0,2025-08-30 20:54:07
2,signal_interval=2,2,1,1100.0,500.0,-37.00,0,2025-08-30 20:54:13
3,signal_interval=2,2,1,1100.0,500.0,-39.00,0,2025-08-30 20:54:19
4,signal_interval=1,2,0,1100.0,500.0,-41.00,1,2025-08-30 20:54:25
5,signal_interval=1,1,1,1100.0,500.0,-39.00,0,2025-08-30 20:54:31
6,signal_interval=2,2,1,1100.0,500.0,-39.00,1,2025-08-30 20:54:36
7,signal_interval=1,1,1,1100.0,500.0,-40.00,0,2025-08-30 20:54:42
8,signal_interval=2,2,1,1100.0,500.0,-40.00,0,2025-08-30 20:54:48
9,signal_interval=2,2,1,1100.0,500.0,-41.00,0,2025-08-30 20:54:54
10,signal_interval=2,2,1,1100.0,500.0,-41.00,0,2025-08-30 20:55:01
11,signal_interval=2,2,1,1100.0,500.0,-42.00,0,2025-08-30 20:55:06
12,signal_interval=2,1,0,1100.0,500.0,-42.00,1,2025-08-30 20:55:12
13,signal_interval=1,1,1,1100.0,500.0,-41.00,0,2025-08-30 20:55:19
14,signal_interval=2,2,1,1100.0,500.0,-41.00,1,2025-08-30 20:55:25
15,signal_interval=2,2,1,1100.0,500.0,-42.00,0,2025-08-30 20:55:30
16,signal_interval=2,1,0,1100.0,500.0,-42.00,1,2025-08-30 20:55:36
17,signal_interval=1,2,0,1100.0,500.0,-41.00,0,2025-08-30 20:55:42
18,signal_interval=2,2,1,1100.0,500.0,-40.00,0,2025-08-30 20:55:48
19,signal_interval=2,2,1,1100.0,500.0,-40.00,1,2025-08-30 20:55:55
